dataset,fold,model_path,status,model_group,source_file,model,loss_history_path,loss_plot_path
SKAB,1.0,models/lstm/lstm_skab_fold_1.pt,trained,LSTM,results/lstm/skab_fold_results.csv,,,
SKAB,2.0,models/lstm/lstm_skab_fold_2.pt,trained,LSTM,results/lstm/skab_fold_results.csv,,,
SKAB,3.0,models/lstm/lstm_skab_fold_3.pt,trained,LSTM,results/lstm/skab_fold_results.csv,,,
SKAB,4.0,models/lstm/lstm_skab_fold_4.pt,trained,LSTM,results/lstm/skab_fold_results.csv,,,
SKAB,5.0,models/lstm/lstm_skab_fold_5.pt,trained,LSTM,results/lstm/skab_fold_results.csv,,,
BATADAL_dataset03,,models/lstm/lstm_BATADAL_dataset03.pt,trained,LSTM,results/lstm/batadal_results.csv,LSTM,,
BATADAL_dataset04,,models/lstm/lstm_BATADAL_dataset04.pt,trained,LSTM,results/lstm/batadal_results.csv,LSTM,,
SKAB,1.0,models/gru/gru_skab_fold_1.pt,trained,GRU,results/gru/skab_fold_results.csv,,,
SKAB,2.0,models/gru/gru_skab_fold_2.pt,trained,GRU,results/gru/skab_fold_results.csv,,,
SKAB,3.0,models/gru/gru_skab_fold_3.pt,trained,GRU,results/gru/skab_fold_results.csv,,,
SKAB,4.0,models/gru/gru_skab_fold_4.pt,trained,GRU,results/gru/skab_fold_results.csv,,,
SKAB,5.0,models/gru/gru_skab_fold_5.pt,trained,GRU,results/gru/skab_fold_results.csv,,,
BATADAL_dataset03,,models/gru/gru_BATADAL_dataset03.pt,trained,GRU,results/gru/batadal_results.csv,GRU,,
BATADAL_dataset04,,models/gru/gru_BATADAL_dataset04.pt,trained,GRU,results/gru/batadal_results.csv,GRU,,
SKAB,1.0,models/cnn/cnn_skab_fold_1.pt,trained,CNN,results/cnn/skab_fold_results.csv,CNN,logs/cnn/cnn_skab_fold_1_loss_history.csv,results/plots/cnn/cnn_skab_fold_1_loss.png
SKAB,2.0,models/cnn/cnn_skab_fold_2.pt,trained,CNN,results/cnn/skab_fold_results.csv,CNN,logs/cnn/cnn_skab_fold_2_loss_history.csv,results/plots/cnn/cnn_skab_fold_2_loss.png
SKAB,3.0,models/cnn/cnn_skab_fold_3.pt,trained,CNN,results/cnn/skab_fold_results.csv,CNN,logs/cnn/cnn_skab_fold_3_loss_history.csv,results/plots/cnn/cnn_skab_fold_3_loss.png
SKAB,4.0,models/cnn/cnn_skab_fold_4.pt,trained,CNN,results/cnn/skab_fold_results.csv,CNN,logs/cnn/cnn_skab_fold_4_loss_history.csv,results/plots/cnn/cnn_skab_fold_4_loss.png
SKAB,5.0,models/cnn/cnn_skab_fold_5.pt,trained,CNN,results/cnn/skab_fold_results.csv,CNN,logs/cnn/cnn_skab_fold_5_loss_history.csv,results/plots/cnn/cnn_skab_fold_5_loss.png
BATADAL_dataset04,,models/cnn/cnn_BATADAL_dataset04.pt,trained,CNN,results/cnn/batadal_results.csv,CNN,logs/cnn/cnn_BATADAL_dataset04_loss_history.csv,results/plots/cnn/cnn_BATADAL_dataset04_loss.png
