model,source_dataset,target_dataset,fold,accuracy,precision,recall,f1
LSTM,SKAB,BATADAL_dataset04,1,0.7763157894736842,0.16352201257861634,0.325,0.2175732217573222
GRU,SKAB,BATADAL_dataset04,1,0.6985645933014354,0.13865546218487396,0.4125,0.20754716981132076
CNN,SKAB,BATADAL_dataset04,1,0.8038277511961722,0.1557377049180328,0.2375,0.18811881188118812
LSTM,SKAB,BATADAL_dataset04,2,0.6782296650717703,0.13229571984435798,0.425,0.20178041543026706
GRU,SKAB,BATADAL_dataset04,2,0.6734449760765551,0.13307984790874525,0.4375,0.20408163265306123
CNN,SKAB,BATADAL_dataset04,2,0.7200956937799043,0.13333333333333333,0.35,0.19310344827586207
LSTM,SKAB,BATADAL_dataset04,3,0.7739234449760766,0.16149068322981366,0.325,0.2157676348547718
GRU,SKAB,BATADAL_dataset04,3,0.7117224880382775,0.13901345291479822,0.3875,0.20462046204620463
CNN,SKAB,BATADAL_dataset04,3,0.7117224880382775,0.13901345291479822,0.3875,0.20462046204620463
LSTM,SKAB,BATADAL_dataset04,4,0.8050239234449761,0.15702479338842976,0.2375,0.1890547263681592
GRU,SKAB,BATADAL_dataset04,4,0.6997607655502392,0.13924050632911392,0.4125,0.2082018927444795
CNN,SKAB,BATADAL_dataset04,4,0.7248803827751196,0.13592233009708737,0.35,0.1958041958041958
LSTM,SKAB,BATADAL_dataset04,5,0.7212918660287081,0.1339712918660287,0.35,0.19377162629757785
GRU,SKAB,BATADAL_dataset04,5,0.7284688995215312,0.13432835820895522,0.3375,0.19217081850533807
CNN,SKAB,BATADAL_dataset04,5,0.7248803827751196,0.13592233009708737,0.35,0.1958041958041958
LSTM,BATADAL_dataset04,SKAB,1,0.6578014184397163,0.0,0.0,0.0
GRU,BATADAL_dataset04,SKAB,1,0.6578014184397163,0.0,0.0,0.0
CNN,BATADAL_dataset04,SKAB,1,0.6578014184397163,0.0,0.0,0.0
LSTM,BATADAL_dataset04,SKAB,2,0.6583574449143111,0.0,0.0,0.0
GRU,BATADAL_dataset04,SKAB,2,0.6583574449143111,0.0,0.0,0.0
CNN,BATADAL_dataset04,SKAB,2,0.6583574449143111,0.0,0.0,0.0
LSTM,BATADAL_dataset04,SKAB,3,0.658726625111309,0.0,0.0,0.0
GRU,BATADAL_dataset04,SKAB,3,0.658726625111309,0.0,0.0,0.0
CNN,BATADAL_dataset04,SKAB,3,0.658726625111309,0.0,0.0,0.0
LSTM,BATADAL_dataset04,SKAB,4,0.638700947225981,0.0,0.0,0.0
GRU,BATADAL_dataset04,SKAB,4,0.638700947225981,0.0,0.0,0.0
CNN,BATADAL_dataset04,SKAB,4,0.638700947225981,0.0,0.0,0.0
LSTM,BATADAL_dataset04,SKAB,5,0.6451683909311028,0.0,0.0,0.0
GRU,BATADAL_dataset04,SKAB,5,0.6451683909311028,0.0,0.0,0.0
CNN,BATADAL_dataset04,SKAB,5,0.6451683909311028,0.0,0.0,0.0
