dataset,model,accuracy,precision,recall,f1
BATADAL_dataset04,LSTM,0.0,0.0,0.0,0.0
BATADAL_dataset04,GRU,0.0,0.0,0.0,0.0
BATADAL_dataset04,CNN,0.0,0.0,0.0,0.0
SKAB_fold_1,LSTM,0.6539315859617948,0.4789156626506024,0.10297927461139897,0.1695095948827292
SKAB_fold_1,GRU,0.655264326965793,0.487012987012987,0.09715025906735751,0.16198704103671707
SKAB_fold_1,CNN,0.4278098622834296,0.3174097664543524,0.5809585492227979,0.4105263157894737
SKAB_fold_2,LSTM,0.6520187374525988,0.481371087928465,0.21042345276872965,0.2928377153218495
SKAB_fold_2,GRU,0.5953602498327013,0.4341670599339311,0.5993485342019544,0.5035577449370553
SKAB_fold_2,CNN,0.5969217042159268,0.44323873121869783,0.6918566775244299,0.5403205291274484
SKAB_fold_3,LSTM,0.6733601070950469,0.5231078365706631,0.5094585779517287,0.5161929940515532
SKAB_fold_3,GRU,0.7184292726461401,0.6592244418331374,0.3659491193737769,0.47063758389261745
SKAB_fold_3,CNN,0.571619812583668,0.3726135615536537,0.36921069797782124,0.3709043250327654
SKAB_fold_4,LSTM,0.6292947558770343,0.49130832570905764,0.6704119850187266,0.5670538542766631
SKAB_fold_4,GRU,0.6699819168173599,0.541813898704358,0.5742821473158551,0.5575757575757576
SKAB_fold_4,CNN,0.6457956600361664,0.5082430522845031,0.6735330836454432,0.5793288590604027
SKAB_fold_5,LSTM,0.6245312155305537,0.4262295081967213,0.16129032258064516,0.23402340234023403
SKAB_fold_5,GRU,0.6499007279947054,0.5264270613107822,0.15446650124069478,0.23884892086330936
SKAB_fold_5,CNN,0.5234943745863666,0.15491183879093198,0.07630272952853598,0.10224438902743142
