dataset,model,metric,mean,std,scenario
SKAB,CNN,accuracy,0.678235966636094,0.029618558023517812,normal
SKAB,CNN,precision,0.6368992092814347,0.12452447773201135,normal
SKAB,CNN,recall,0.13877098648200034,0.11546100740515422,normal
SKAB,CNN,f1,0.21549820080597018,0.1617106367865753,normal
SKAB,GRU,accuracy,0.6758268974907798,0.029196812642842008,normal
SKAB,GRU,precision,0.5921525679616361,0.19209393968650595,normal
SKAB,GRU,recall,0.1224640355988282,0.12831885135540078,normal
SKAB,GRU,f1,0.1874571765396148,0.18148617702427935,normal
SKAB,LSTM,accuracy,0.6735082068021255,0.028724724356793022,normal
SKAB,LSTM,precision,0.6675221394186911,0.2524648952888362,normal
SKAB,LSTM,recall,0.09269802513361916,0.11089589697371546,normal
SKAB,LSTM,f1,0.14934934168831565,0.16707097683144798,normal
