experiment_type,dataset,fold,window_size,alphabet_size,accuracy,precision,recall,f1,state_count,transition_count,transition_density,train_pattern_count,test_pattern_count,probability_threshold,unseen_transition_count,low_probability_count,average_transition_probability
alphabet_size_analysis,SKAB,1,4,3,0.6328748890860693,0.34579439252336447,0.07133676092544987,0.11827384123601492,72,168,0.032407407407407406,17959,4509,0.22149122807017543,4,321,0.7146347567126888
alphabet_size_analysis,SKAB,2,4,3,0.6123858320338605,0.21194029850746268,0.04589528118939883,0.07545164718384698,73,167,0.03133796209420154,17978,4490,0.2268041237113402,2,335,0.6900992652210252
alphabet_size_analysis,SKAB,3,4,3,0.5969251336898396,0.2411764705882353,0.07961165048543689,0.11970802919708029,69,150,0.0315059861373661,17979,4489,0.2482758620689655,5,510,0.631568135949841
alphabet_size_analysis,SKAB,4,4,3,0.6115124153498871,0.23645320197044334,0.02973977695167286,0.05283434232250963,72,165,0.031828703703703706,18037,4431,0.2283464566929134,0,203,0.7062614270339597
alphabet_size_analysis,SKAB,5,4,3,0.5472571050892266,0.34485241180705545,0.29495073891625617,0.31795552605376703,70,155,0.03163265306122449,17928,4540,0.21929824561403508,0,1389,0.440742696318359
alphabet_size_analysis,BATADAL_dataset04,-,4,3,0.7800480769230769,0.04672897196261682,0.05813953488372093,0.05181347150259067,71,165,0.03273160087284269,2503,833,0.08247422680412371,4,107,0.28823852210874323
alphabet_size_analysis,SKAB,1,4,4,0.669698314108252,0.5815085158150851,0.15359897172236503,0.24300965937976615,141,363,0.01825863890146371,17959,4509,0.09497206703910614,0,411,0.5468069995720889
alphabet_size_analysis,SKAB,2,4,4,0.5889953218979728,0.21235521235521235,0.07110536522301228,0.10653753026634383,138,362,0.01900861163621088,17978,4490,0.08831908831908832,3,518,0.5136619078388251
alphabet_size_analysis,SKAB,3,4,4,0.5949197860962567,0.3177570093457944,0.1540453074433657,0.2074978204010462,132,343,0.019685491276400367,17979,4489,0.10880829015544041,10,749,0.4540136255330591
alphabet_size_analysis,SKAB,4,4,4,0.6060948081264108,0.23265306122448978,0.03531598513011153,0.06132329209252286,135,361,0.0198079561042524,18037,4431,0.09970674486803519,4,245,0.48898558142071946
alphabet_size_analysis,SKAB,5,4,4,0.6146728354263054,0.3278236914600551,0.07327586206896551,0.11977856064418722,107,290,0.025329723119923136,17928,4540,0.1134789557805008,6,363,0.38716991217329033
alphabet_size_analysis,BATADAL_dataset04,-,4,4,0.7848557692307693,0.16058394160583941,0.2558139534883721,0.19730941704035873,169,397,0.013900073526837295,2503,833,0.017543859649122806,24,137,0.0968987510675084
alphabet_size_analysis,SKAB,1,4,5,0.6750221827861579,0.5880077369439072,0.1953727506426735,0.29329474191992283,271,788,0.010729701392954889,17959,4509,0.03389830508474576,27,517,0.3841090869823646
alphabet_size_analysis,SKAB,2,4,5,0.5892180886611718,0.20939334637964774,0.0691661279896574,0.10398445092322643,289,818,0.009793944038026364,17978,4490,0.033950617283950615,4,511,0.35153563850066083
alphabet_size_analysis,SKAB,3,4,5,0.5844474153297683,0.3130841121495327,0.17346278317152103,0.2232403165347772,274,767,0.010216314135009856,17979,4489,0.03556485355648536,23,856,0.2673367573293889
alphabet_size_analysis,SKAB,4,4,5,0.6058690744920994,0.2480916030534351,0.040272614622057,0.06929637526652452,279,804,0.010328747061317301,18037,4431,0.03377110694183865,8,262,0.27292722408952264
alphabet_size_analysis,SKAB,5,4,5,0.6122493941396784,0.3559322033898305,0.10344827586206896,0.16030534351145037,263,839,0.012129711286848154,17928,4540,0.03233830845771144,25,472,0.2212384038031352
alphabet_size_analysis,BATADAL_dataset04,-,4,5,0.734375,0.10982658959537572,0.22093023255813954,0.14671814671814673,334,763,0.006839614184804044,2503,833,0.005952380952380952,67,173,0.028603195812977114
alphabet_size_analysis,SKAB,1,4,6,0.6557231588287489,0.5042735042735043,0.15167095115681234,0.233201581027668,477,1464,0.0064343446329918385,17959,4509,0.012219959266802444,23,468,0.2889390467491066
alphabet_size_analysis,SKAB,2,4,6,0.5747382490532412,0.18900343642611683,0.07110536522301228,0.10333489901362142,484,1488,0.006352025134895157,17978,4490,0.01188707280832095,36,582,0.2496962703646184
alphabet_size_analysis,SKAB,3,4,6,0.5788770053475936,0.3028571428571429,0.1715210355987055,0.2190082644628099,465,1401,0.006479361775927853,17979,4489,0.012738853503184714,66,875,0.1514510725500655
alphabet_size_analysis,SKAB,4,4,6,0.6042889390519187,0.182648401826484,0.024783147459727387,0.0436442989634479,474,1513,0.006734141608360483,18037,4431,0.011881188118811881,6,219,0.16168252699205643
alphabet_size_analysis,SKAB,5,4,6,0.5869134170522141,0.31462333825701627,0.1311576354679803,0.18513689700130379,472,1473,0.006611785406492387,17928,4540,0.012320328542094456,47,677,0.09123672263649028
alphabet_size_analysis,BATADAL_dataset04,-,4,6,0.6225961538461539,0.08992805755395683,0.29069767441860467,0.13736263736263737,522,1073,0.0039378458918688805,2503,833,0.0038095238095238095,114,278,0.011235543016937844
