experiment_type,dataset,fold,window_size,alphabet_size,accuracy,precision,recall,f1,state_count,transition_count,transition_density,train_pattern_count,test_pattern_count,probability_threshold,unseen_transition_count,low_probability_count,average_transition_probability
window_size_analysis,SKAB,1,3,3,0.6396096695497893,0.3590733590733591,0.059922680412371136,0.10270568746548868,27,72,0.09876543209876543,17960,4510,0.25,0,259,0.7407855252669235
window_size_analysis,SKAB,2,3,3,0.6149220489977728,0.24166666666666667,0.056383668178872325,0.09143457698370994,27,73,0.10013717421124829,17979,4491,0.2951048951048951,0,360,0.7158248595820572
window_size_analysis,SKAB,3,3,3,0.601470260637113,0.2405857740585774,0.07462686567164178,0.11391778107974244,27,69,0.09465020576131687,17980,4490,0.3130434782608696,0,478,0.6631389640105054
window_size_analysis,SKAB,4,3,3,0.604829609568946,0.25773195876288657,0.046583850931677016,0.07890583903208838,27,72,0.09876543209876543,18038,4432,0.3083067092651757,0,291,0.7236232591929539
window_size_analysis,SKAB,5,3,3,0.579295154185022,0.3374439461883408,0.18580246913580248,0.23964968152866242,27,70,0.09602194787379972,17929,4541,0.28289473684210525,0,892,0.539807275395511
window_size_analysis,BATADAL_dataset04,-,3,3,0.7983193277310925,0.0625,0.07142857142857142,0.06666666666666667,26,71,0.10502958579881656,2504,834,0.15873015873015872,0,96,0.4541825473002004
window_size_analysis,SKAB,1,4,3,0.6328748890860693,0.34579439252336447,0.07133676092544987,0.11827384123601492,72,168,0.032407407407407406,17959,4509,0.22149122807017543,4,321,0.7146347567126888
window_size_analysis,SKAB,2,4,3,0.6123858320338605,0.21194029850746268,0.04589528118939883,0.07545164718384698,73,167,0.03133796209420154,17978,4490,0.2268041237113402,2,335,0.6900992652210252
window_size_analysis,SKAB,3,4,3,0.5969251336898396,0.2411764705882353,0.07961165048543689,0.11970802919708029,69,150,0.0315059861373661,17979,4489,0.2482758620689655,5,510,0.631568135949841
window_size_analysis,SKAB,4,4,3,0.6115124153498871,0.23645320197044334,0.02973977695167286,0.05283434232250963,72,165,0.031828703703703706,18037,4431,0.2283464566929134,0,203,0.7062614270339597
window_size_analysis,SKAB,5,4,3,0.5472571050892266,0.34485241180705545,0.29495073891625617,0.31795552605376703,70,155,0.03163265306122449,17928,4540,0.21929824561403508,0,1389,0.440742696318359
window_size_analysis,BATADAL_dataset04,-,4,3,0.7800480769230769,0.04672897196261682,0.05813953488372093,0.05181347150259067,71,165,0.03273160087284269,2503,833,0.08247422680412371,4,107,0.28823852210874323
window_size_analysis,SKAB,1,5,3,0.6252496117151098,0.303951367781155,0.0641025641025641,0.10587612493382742,168,352,0.012471655328798186,17958,4508,0.12714776632302405,11,329,0.6421021865149632
window_size_analysis,SKAB,2,5,3,0.6143048128342246,0.19387755102040816,0.0367504835589942,0.061788617886178863,167,338,0.01211947362759511,17977,4489,0.136,7,294,0.6168820405803026
window_size_analysis,SKAB,3,5,3,0.5946066414085135,0.2413793103448276,0.08134280180761781,0.12168034765813616,150,301,0.013377777777777778,17978,4488,0.14042553191489363,30,522,0.5514182660894517
window_size_analysis,SKAB,4,5,3,0.6211334386994807,0.2540983606557377,0.019159456118665017,0.035632183908045977,165,344,0.01263544536271809,18036,4430,0.12878787878787878,4,122,0.6363317182282759
window_size_analysis,SKAB,5,5,3,0.5130013221683561,0.3236363636363636,0.32800982800982803,0.32580841976815134,155,317,0.0131945889698231,17927,4539,0.1434920634920635,17,1650,0.3078866231749135
window_size_analysis,BATADAL_dataset04,-,5,3,0.7713598074608905,0.08870967741935484,0.125,0.10377358490566038,165,312,0.011460055096418733,2502,832,0.023391812865497075,14,124,0.12924338872174054
window_size_analysis,SKAB,1,6,3,0.6207279183311141,0.30563002680965146,0.07289002557544758,0.11770779556014456,352,660,0.005326704545454545,17957,4507,0.044386422976501305,28,373,0.5562626818795675
window_size_analysis,SKAB,2,6,3,0.6104301314909739,0.15658362989323843,0.02829581993569132,0.04793028322440087,338,631,0.0055232659920871115,17976,4488,0.046189376443418015,29,281,0.5210073904741316
window_size_analysis,SKAB,3,6,3,0.5905037895675435,0.23308270676691728,0.0798454603992273,0.11894484412470024,301,538,0.005938124303263761,17977,4487,0.057057057057057055,77,532,0.44999995229649814
window_size_analysis,SKAB,4,6,3,0.6251129177958447,0.21212121212121213,0.008631319358816275,0.016587677725118485,344,656,0.005543537047052461,18035,4429,0.04736842105263158,5,66,0.5327705223768088
window_size_analysis,SKAB,5,6,3,0.49415913599294686,0.32282202030999463,0.3700980392156863,0.34484727376534396,317,590,0.0058712893948591385,17926,4538,0.05925925925925926,41,1871,0.1985938038113645
window_size_analysis,BATADAL_dataset04,-,6,3,0.744578313253012,0.09868421052631579,0.16666666666666666,0.12396694214876033,312,507,0.005208333333333333,2501,831,0.009287925696594427,59,152,0.0494278568469643
