window_size,sax_length,pattern_count,unique_pattern_count,file
3,443,441,11,data/processed/sax/SKAB/fold_4/test.csv
4,443,440,20,data/processed/sax/SKAB/fold_4/test.csv
5,443,439,34,data/processed/sax/SKAB/fold_4/test.csv
6,443,438,53,data/processed/sax/SKAB/fold_4/test.csv
3,1804,1802,17,data/processed/sax/SKAB/fold_4/train.csv
4,1804,1801,34,data/processed/sax/SKAB/fold_4/train.csv
5,1804,1800,65,data/processed/sax/SKAB/fold_4/train.csv
6,1804,1799,119,data/processed/sax/SKAB/fold_4/train.csv
3,449,447,13,data/processed/sax/SKAB/fold_3/test.csv
4,449,446,23,data/processed/sax/SKAB/fold_3/test.csv
5,449,445,40,data/processed/sax/SKAB/fold_3/test.csv
6,449,444,66,data/processed/sax/SKAB/fold_3/test.csv
3,1798,1796,16,data/processed/sax/SKAB/fold_3/train.csv
4,1798,1795,33,data/processed/sax/SKAB/fold_3/train.csv
5,1798,1794,64,data/processed/sax/SKAB/fold_3/train.csv
6,1798,1793,116,data/processed/sax/SKAB/fold_3/train.csv
3,449,447,11,data/processed/sax/SKAB/fold_2/test.csv
4,449,446,20,data/processed/sax/SKAB/fold_2/test.csv
5,449,445,35,data/processed/sax/SKAB/fold_2/test.csv
6,449,444,61,data/processed/sax/SKAB/fold_2/test.csv
3,1798,1796,17,data/processed/sax/SKAB/fold_2/train.csv
4,1798,1795,34,data/processed/sax/SKAB/fold_2/train.csv
5,1798,1794,65,data/processed/sax/SKAB/fold_2/train.csv
6,1798,1793,116,data/processed/sax/SKAB/fold_2/train.csv
3,454,452,15,data/processed/sax/SKAB/fold_5/test.csv
4,454,451,30,data/processed/sax/SKAB/fold_5/test.csv
5,454,450,55,data/processed/sax/SKAB/fold_5/test.csv
6,454,449,89,data/processed/sax/SKAB/fold_5/test.csv
3,1793,1791,17,data/processed/sax/SKAB/fold_5/train.csv
4,1793,1790,35,data/processed/sax/SKAB/fold_5/train.csv
5,1793,1789,69,data/processed/sax/SKAB/fold_5/train.csv
6,1793,1788,121,data/processed/sax/SKAB/fold_5/train.csv
3,451,449,13,data/processed/sax/SKAB/fold_1/test.csv
4,451,448,24,data/processed/sax/SKAB/fold_1/test.csv
5,451,447,40,data/processed/sax/SKAB/fold_1/test.csv
6,451,446,51,data/processed/sax/SKAB/fold_1/test.csv
3,1796,1794,17,data/processed/sax/SKAB/fold_1/train.csv
4,1796,1793,34,data/processed/sax/SKAB/fold_1/train.csv
5,1796,1792,67,data/processed/sax/SKAB/fold_1/train.csv
6,1796,1791,128,data/processed/sax/SKAB/fold_1/train.csv
3,83,81,17,data/processed/sax/BATADAL/BATADAL_dataset04/validation.csv
4,83,80,30,data/processed/sax/BATADAL/BATADAL_dataset04/validation.csv
5,83,79,42,data/processed/sax/BATADAL/BATADAL_dataset04/validation.csv
6,83,78,52,data/processed/sax/BATADAL/BATADAL_dataset04/validation.csv
3,83,81,25,data/processed/sax/BATADAL/BATADAL_dataset04/test.csv
4,83,80,46,data/processed/sax/BATADAL/BATADAL_dataset04/test.csv
5,83,79,62,data/processed/sax/BATADAL/BATADAL_dataset04/test.csv
6,83,78,72,data/processed/sax/BATADAL/BATADAL_dataset04/test.csv
3,250,248,25,data/processed/sax/BATADAL/BATADAL_dataset04/train.csv
4,250,247,60,data/processed/sax/BATADAL/BATADAL_dataset04/train.csv
5,250,246,104,data/processed/sax/BATADAL/BATADAL_dataset04/train.csv
6,250,245,151,data/processed/sax/BATADAL/BATADAL_dataset04/train.csv
