,aaaa,aaab,aaba,aabb,abaa,abab,abba,abbb,baaa,baab,baba,babb,bbaa,bbab,bbba,bbbb,bbbc,bbcb,bbcc,bcbb,bcbc,bccb,bccc,caaa,cbbb,cbbc,cbcb,cbcc,ccaa,ccbb,ccbc,ccca,cccb,cccc
aaaa,0.8684807256235828,0.05895691609977324,0.0022675736961451248,0.0022675736961451248,0.0022675736961451248,0.0022675736961451248,0.0022675736961451248,0.0022675736961451248,0.0022675736961451248,0.0022675736961451248,0.0022675736961451248,0.0022675736961451248,0.0022675736961451248,0.0022675736961451248,0.0022675736961451248,0.0022675736961451248,0.0022675736961451248,0.0022675736961451248,0.0022675736961451248,0.0022675736961451248,0.0022675736961451248,0.0022675736961451248,0.0022675736961451248,0.0022675736961451248,0.0022675736961451248,0.0022675736961451248,0.0022675736961451248,0.0022675736961451248,0.0022675736961451248,0.0022675736961451248,0.0022675736961451248,0.0022675736961451248,0.0022675736961451248,0.0022675736961451248
aaab,0.014285714285714285,0.014285714285714285,0.2571428571428571,0.2857142857142857,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.014285714285714285
aaba,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.4153846153846154,0.09230769230769231,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385
aabb,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.16666666666666666,0.3,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666
abaa,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.31343283582089554,0.208955223880597,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358
abab,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.19230769230769232,0.19230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232
abba,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.14285714285714285,0.20408163265306123,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612
abbb,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.11940298507462686,0.40298507462686567,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.014925373134328358
baaa,0.37681159420289856,0.15942028985507245,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406
baab,0.01818181818181818,0.01818181818181818,0.2727272727272727,0.14545454545454545,0.01818181818181818,0.01818181818181818,0.01818181818181818,0.01818181818181818,0.01818181818181818,0.01818181818181818,0.01818181818181818,0.01818181818181818,0.01818181818181818,0.01818181818181818,0.01818181818181818,0.01818181818181818,0.01818181818181818,0.01818181818181818,0.01818181818181818,0.01818181818181818,0.01818181818181818,0.01818181818181818,0.01818181818181818,0.01818181818181818,0.01818181818181818,0.01818181818181818,0.01818181818181818,0.01818181818181818,0.01818181818181818,0.01818181818181818,0.01818181818181818,0.01818181818181818,0.01818181818181818,0.01818181818181818
