state,pattern,original_pattern,is_unseen
q0,aaaac,aaaa,True
q1,aaabc,aaab,True
q2,aabac,aaba,True
q3,aabbc,aabb,True
q4,abaac,abaa,True
q5,abbac,abba,True
q6,abbbc,abbb,True
q7,baaac,baaa,True
q8,baabc,baab,True
q9,babbc,babb,True
q10,bbaac,bbaa,True
q11,bbabc,bbab,True
q12,bbbac,bbba,True
q13,bbbbc,bbbb,True
q14,bcba,bbbc,True
q15,bcba,bbcb,True
q16,bcca,bbcc,True
q17,bcba,bcbb,True
q18,bcba,bcbc,True
q19,bcca,bccb,True
q20,bcca,bccc,True
q21,baca,cbba,True
q22,cbba,cbbb,True
q23,cbba,cbbc,True
q24,cbca,cbcb,True
q25,cbca,cbcc,True
q26,ccba,ccbb,True
q27,ccba,ccbc,True
q28,ccca,cccb,True
q29,ccca,cccc,True
