dataset,fold,model,accuracy,precision,recall,f1,scenario
SKAB,1,LSTM,0.6628989361702128,0.9259259259259259,0.016191709844559584,0.031826861871419476,unseen
SKAB,1,GRU,0.6628989361702128,0.6575342465753424,0.031088082901554404,0.059369202226345084,unseen
SKAB,1,CNN,0.663563829787234,0.6444444444444445,0.03756476683937824,0.07099143206854346,unseen
SKAB,2,LSTM,0.6821722679724015,0.6698412698412698,0.13745928338762214,0.22810810810810808,unseen
SKAB,2,GRU,0.6846205208101491,0.6189516129032258,0.2,0.30231413096996557,unseen
SKAB,2,CNN,0.6850656576897396,0.6162790697674418,0.20716612377850163,0.3100926377376889,unseen
SKAB,3,LSTM,0.6634016028495102,0.6206896551724138,0.03522504892367906,0.06666666666666667,unseen
SKAB,3,GRU,0.667853962600178,0.6198830409356725,0.06914546640574037,0.12441314553990611,unseen
SKAB,3,CNN,0.6758682101513802,0.6420664206642066,0.11350293542074363,0.19290465631929046,unseen
SKAB,4,LSTM,0.7178619756427604,0.8461538461538461,0.26779026217228463,0.40682788051209107,unseen
SKAB,4,GRU,0.7207938655841227,0.7916666666666666,0.3083645443196005,0.4438454627133872,unseen
SKAB,4,CNN,0.7232746955345061,0.8161888701517707,0.3021223470661673,0.44100227790432805,unseen
SKAB,5,LSTM,0.6412062513757429,0.275,0.006823821339950372,0.01331719128329298,unseen
SKAB,5,GRU,0.6429672022892362,0.2727272727272727,0.0037220843672456576,0.007343941248470013,unseen
SKAB,5,CNN,0.6434074400176095,0.46551724137931033,0.033498759305210915,0.06249999999999999,unseen
