dataset,model,metric,mean,std,scenario
SKAB,CNN,accuracy,0.678235966636094,0.029618558023517812,unseen
SKAB,CNN,precision,0.6368992092814347,0.12452447773201135,unseen
SKAB,CNN,recall,0.13877098648200034,0.11546100740515422,unseen
SKAB,CNN,f1,0.21549820080597018,0.1617106367865753,unseen
SKAB,GRU,accuracy,0.6758268974907798,0.029196812642842008,unseen
SKAB,GRU,precision,0.5921525679616361,0.19209393968650595,unseen
SKAB,GRU,recall,0.1224640355988282,0.12831885135540078,unseen
SKAB,GRU,f1,0.1874571765396148,0.18148617702427935,unseen
SKAB,LSTM,accuracy,0.6735082068021255,0.028724724356793022,unseen
SKAB,LSTM,precision,0.6675221394186911,0.2524648952888362,unseen
SKAB,LSTM,recall,0.09269802513361916,0.11089589697371546,unseen
SKAB,LSTM,f1,0.14934934168831565,0.167070976831448,unseen
